disp_avg,t_cent,daily_average
6.100219162392523e-10,2020-04-30 08:30:00+00:00,9.927850134445103e-10
8.543549527541234e-10,2020-04-30 09:30:00+00:00,9.916758415109338e-10
1.1199831291707686e-09,2020-04-30 10:30:00+00:00,9.927876293554958e-10
1.198819119064458e-09,2020-04-30 11:30:00+00:00,9.917409277925806e-10
1.2138222880722621e-09,2020-04-30 12:30:00+00:00,9.909032809659276e-10
1.178545044568809e-09,2020-04-30 13:30:00+00:00,9.873870558677448e-10
1.1455318880270818e-09,2020-04-30 14:30:00+00:00,9.858567951288527e-10
1.1206377036496562e-09,2020-04-30 15:30:00+00:00,9.837481235461247e-10
1.147041643059284e-09,2020-04-30 16:30:00+00:00,9.825572988991394e-10
1.1377899233787368e-09,2020-04-30 17:30:00+00:00,9.819100997256877e-10
1.1583304858685536e-09,2020-04-30 18:30:00+00:00,9.80966620476436e-10
1.1405649013908719e-09,2020-04-30 19:30:00+00:00,9.811643078396165e-10
1.1393306916689757e-09,2020-04-30 20:30:00+00:00,9.827076591402226e-10
1.1099352964861594e-09,2020-04-30 21:30:00+00:00,9.822824050918767e-10
1.0925394762670418e-09,2020-04-30 22:30:00+00:00,9.826499804606118e-10
1.0122974901112393e-09,2020-04-30 23:30:00+00:00,9.830622868784788e-10
9.836605412991401e-10,2020-05-01 00:30:00+00:00,9.85692769478451e-10
9.055018213337217e-10,2020-05-01 01:30:00+00:00,9.850198311069261e-10
8.889911940167135e-10,2020-05-01 02:30:00+00:00,9.841569030002011e-10
8.435052186130249e-10,2020-05-01 03:30:00+00:00,9.836550374556705e-10
7.737782282441204e-10,2020-05-01 04:30:00+00:00,9.83286594888149e-10
6.609653926446573e-10,2020-05-01 05:30:00+00:00,9.8298408834502e-10
5.751737144900056e-10,2020-05-01 06:30:00+00:00,9.834859303385284e-10
5.643204358274804e-10,2020-05-01 07:30:00+00:00,9.823101040102557e-10
6.498312672828135e-10,2020-05-01 08:30:00+00:00,9.839688269704039e-10
8.363697196786306e-10,2020-05-01 09:30:00+00:00,9.83219442258925e-10
1.0863976588287708e-09,2020-05-01 10:30:00+00:00,9.818200476613419e-10
